Seite;Nr.;Datum;User;;Sterne;Überschrift;Bewertung (Worte)
;11;23. Feb 12;Der Haui ;;5;super Gerät;" Ich habe diesen Kühlschrank vor kurzem gekauft und bin sehr zufrieden. Mein alter Kühlschrank hat nach zwölf Jahren endlich mal ausgedient. Nach längerer Suche und unzähligen Kundenmeinungen habe ich mich für dieses Gerät entschieden. Das Preis-Leistungsverhältnis ist in meinen Augen optimal, vorallem A+++.

Das einzige was ich zu bemängeln habe ist das LED-Licht. Es ist für die Grösse des Gerätes ein wenig zu dunkel.

Zur Lieferung ist zu sagen, dass alles bestens geklappt hat. Alles was Amazon angegeben hat, wurde auch so ausgeführt. Auch die DHL Mitarbeiter haben wie versprochen das Gerät bis zum Austellplatz gebracht, ausgepackt und den Müll entsorgt.

Fazit: Ich würde ihn wieder kaufen."
;12;25. Feb 12;MoSHS ;;5;Super Marken Teil;"Nach langem hin und her in unserer Kühlschranksuche, haben wir uns letzenendes für diese Gerät entschieden. Dies war KEIN Fehler.

Die Lieferung erfolgte promt und nach gewünschten Termin. Das Gerät an sich bietet eine Menge Platz und die Speisen bleiben Dank Umluftkühlung lange frisch! Das Antifingerprint der Oberfläche ist eine Revolution in Sachen Edelstahl. Fingerabdrücke sind ganz einfach mit dem Lappen weg zu wischen, genial!

Wir sind rundum zufrieden mit dem Siemens Modell und können es nur weiterempfehlen!"
;13;03. Mrz 12;whiskyvoll;;4;Guter Kühlschrank aber keine 5 Sterne;"Zum Thema Geräusch.Also ich habe nun das Glück dass mein Kumpel auch den gleichen Kühlschrank hat und bei blubbern vor sich hin...alle halbe Stunde springen die für ca . 20 Minuten an.

Für eine Wohnküche kann das schon nerven.Mich persönlich stört es nicht

Zum aufstellen ( falls man es selbst macht ) Der Kühlschrank hat hinten Rollen also keine Schraubfüße.Halte ich persönlich für absoluten Schwachsinn da man so wieder was unterlegen muss falls der Boden schief ist

Falls man den Tür öffnet um Lebensmittel einzuräumen kann es auch mal passieren dass er 3 Stunden durchblubbert.Habe auch mal die leistungsuafnahme gemessen.Allerdings habe ich da fast nie die Tür aufgemacht.Bin auf 145 kWH gekommen....wenn man aber öfter die Tür öffnet denke ich kommt man über die angegebenen 156 kWH

Im Gefrierfach bildet sich auch nach ca 1 Stunde reif....iss halt kein No Frost Gerät

Was auch noch zu erwähnen ist.Die Crisper Box und die Chiller Box sind KEINE richtigen 0 Grad Fächer mit eigenen Kühlsystem!!Dies haben nur höherpreisige Siemens Geräte

Zu guter letzt der Anschlagwechsel.Das ist der letzte Mist.War extra in einem Fachgeschäft und habe gefragt wieman diese Plastikabdeckungen ohne Macken abbekommen soll.Der Monteur sagt*das geht nur mit viel Glück*

Allerdings hat ein Anruf bei Siemes genügt und man bekommt neue.

Alles in allem trotzdem ein schönes Gerät mit viel Platz , guter Aufteilung.Ob ich ihn mir nochmal kaufen würde weiß ich nicht.Für unter 750 Euro war es aber echt ok."
;14;12. Mrz 12;"Carla Lela ""Carla""";;5;Top!;"Super viel Platz!! Läuft auch relativ leise.
Die Beleuchtung ist super und sieht auch toll aus.
Selbst die Lieferubg lief problemlos ab. Kann ich nur weiterempfelen.
Top!"
;15;12. Mrz 12;R. Fehling;;5;Zurecht A+++;"Eine umfassende Beurteilung dieses Gerätes möchte ich mir nach wenigen Wochen Benutzung nicht anmaßen, aber ein paar i.w. positive Erfahrungen kann ich doch teilen:

- Der VERBRAUCH ist so gering wie angegeben: Ich habe den Verbrauch über 10 Tage gemessen und bin hochgerechnet auf ein Jahr auf nur knapp 130 kWh gekommen. Auch wenn man einrechnet, dass darin weder sommerliche Temperaturen noch Abtauen noch nennenswertes Einfrieren enthalten war, so mag man doch glauben, dass die vom Hersteller angegebenen 159 kWh/a realistisch sind. (Ich war da vorher doch ein bisschen skeptisch.)
Dazu sei noch erwähnt, dass wir das Gerät mit den empfohlenen und voreingestellten 4 Grad im Kühlraum (und -18 Grad im Gefrierteil) betreiben, was gefühlt spürbar kälter ist als die übliche Temperatur in Kühlschränken.

- Man ""bezahlt"" diesen sehr geringen Verbrauch u.a. mit recht dicken Wänden, was natürlich auf den Inhalt geht. (D.h. nicht, dass der angegebene Inhalt nicht stimmen würde, aber weniger engergieeffiziente Geräte bieten bei gleichen Außenmaßen mehr Platz.)

- Das Gerät macht tatsächlich einige Geräusche, nicht wirklich laut, aber doch gut hörbar. Uns stört es nicht, deshalb kein Punktabzug (Energieverbrauch ist uns wichtiger), aber je nach Standort und Empfindlichkeit mag das nicht ganz problemlos sein.

- Innenraummaterialien (Klar-""Glas""), Aufteilung, Beleuchtung und Höhe (Kühlraums auf Augenhöhe) sorgen dafür, dass man einen guten Überblick hat und der Inhalt ansprechend gezeigt wird. Dazu trägt auch bei, dass das Gemüsefach weiter vorspringt als die darüber liegenden Fächer (sozusagen unter die Fächer in der Tür ragt) und dadurch von oben einsehbar ist.

- ""Anti-Finger-Print"" funktioniert, (bisher) keinerlei Probleme mit Fingerabdrücken. Die Seitenwände sind allerdings nur aus silber-grauem Kunststoff, was der eine oder andere als störend empfinden mag, wenn der Kühlschrank frei steht.

Bzgl. der Temperatur-Anzeige möchte ich einem Vorredner widersprechen: Es ist schon sinnvoll, dass das Gerät die Soll-Temperatur anzeigt; denn diese Anzeige dient Einstellung der Wunsch-Temperatur. Würde die Ist-Temperatur angezeigt, müsste ich wie bei meinem alten Gerät ""rumprobieren"", bis ich durch Drehen am Rädchen die richtige Temperatur gefunden habe (die sich dann bei geänderten Bedingungen vielleicht auch noch wieder ändert). Nicht umsonst gilt die getrennte (Kühl-/Gefrierraum) und Grad-exakte Einstellbarkeit der Temperatur als ein wichtiger Aspekt für gute Energieeffizienz einer KühlGefrierKombination.

Fazit: Ein Gerät, das den versprochenen geringen Energieverbrauch einhält und auch sonst seinen Preis Wert ist."
;16;17. Mrz 12;Mario H.;;5;alles top;"nach langem Überlegen (billig, teuer, gross, klein, Kombigerät, 2 Geräte - Einbau oder nicht, Marke, noname, A+, A++, A+++) sind wir bei diesem gerät hängengeblieben.

Die vorherigen Rezensionen haben schon alles gesagt - ein Spitzengerät.

Was die Lautstärke angeht: unser Modell ist kaum hörbar - habe letztens die Gefrierfachtür nicht zugemacht und wurde vom Alarm des Schrankes herbeizitiert - danach ging der Schrank auf volle Leistung (würd ich zumindest meinen) und man musste schon sehr dicht dran sein, um was zu hören.

Apropos zumachen - der Kühlschrank schliest ganz sanft und geht nicht hörbar zu.
Bei unseren alten Schränken hat die Tür hörbar geschlossen und man hatte den Eindruck, dass sie an den Schrank herangezogen wird - und beim Aufmachen umgekehrt.
Das ist hier nicht, die Tür geht quasi einfach auf und zu - was sehr schön ist.
Allerdings bleibt sie auch 2 mm offen stehen ohne sich zu schämen :)

Auch nach normalem Türöffnen usw - nix zu hören - keine LüfterŽund nix - ausser man stellt sich direkt neben den Schrank, dann blubbert er tatsächlich vor sich hin.

Dachte schon, er wär defekt, weil in anderen Rezensionen dieser Baureihe auch von lauten Lüftergeräuschen die Rede war - aber selbst wenn man warme Speisen ins Kühlteil stellt wird die Feuchtigkeit, die sich niederschlägt umgehend eliminiert - also alles i.O.

Achten sollte man tatsächlich auf die Ausmasse - und dran denken, dass noch Verpackung drumrumkommt. - Kann also eng werden.
Bei uns waren die Spediteure superpünktlich, freundlich und haben den Kühlschrank sogar aufgestellt und die Verpackung wieder mitgenommen. - Auch das sehr Vorbildlich.

Was die Temperaturanzeige angeht - jo, das ist nciht wirklich durchdacht, dass nur die Zieltemperatur angegeben ist.
Auf der anderen Seite - wenn ich 7 Grad einstelle, dann werden 7 Grad eingeregelt. im Normalen Betrieb ist gewünschte und tatsächliche Temperatur also ohnehin gleich.

Nur nach Stromausfall oder bei sonstigen Abschaltungen wäre hier ein Unterschied in der Anzeige - da ich meine Lebensmittel aber nicht in die 20 Grad warme Küche lege bis der Schrank auf Temperatur ist und auch sonst nicht kontrollieren werde wie lange er zum runterkühlen braucht ein verschmerzbarer Designfehler.

Dass die Verarbeitung dem Preis entspricht - also sehr gut ist - sollte klar sein.
Die Glasböden sind sogar ausziehbar damit man an die hinteren Lebensmittel besser herankommt ist nur eine Kleinigkeit, die man bei nem ""Billiggerät"" nicht bekommt :)
"
;17;17. Mrz 12;mac50;;5;hervorragender Kauf;"Die Wunschterminlieferung ist hervorragend abgelaufen.Die verantwortliche Spedition (Jacobi,Bochum) hat diese überaus pünklich und profihaft zu meiner vollsten Zufriedenheit ausgeführt.Verpackungsmitnahme war selbstverständlich und brauchbare Tips zur Inbetriebnahme sind auch zu erwähnen.

Ich musste auch einen Anschlagwechsel durchführen den ich ohne Hilfe alleine bewältigt habe und in nur 20-30 Min. erledigt war.
Etwas Fummelei war der Griffwechsel, aber dank dem Tip einer vorausgegangenen Rezession und dem richtigen feinen Werkzeug, auch kein Problem.

Das Gerät selber ( absolut baugleich mit dem Bosch Bosch KGE39AI40 Kühl-Gefrier-Kombination / A+++ / Kühlen: 247 L / Gefrieren: 92 L / Edelstahloptik / SuperGefrieren / Anti-Fingerprint ) macht einen sehr hochwertigen Eindruck (Material und Elektronik) und dieser bestätigt sich auch nach meinen jetzigen Tests.Hatte mir vorher den Bosch ausgeguckt aber nach Recherchen festgestellt das der Siemens (Kooperation mit Bosch) baugleich ist und ein Stück billiger zu erwerben war,aber das sollte jeder für sich selbst entscheiden.
Die Grösse des Geräts hat mich ein bisschen erschrocken obwohl ja die Maße bekannt waren,aber das lag wohl daran das ich das Gerät mit meinem 12 Jahre alten Vorgerät Klasse C verglichen habe.Die Türstärken und Wandungen sind eben stark ausgeprägt denn nur so kann wohl das Energielabel A+++ erreicht weden.
Die Antifingerprint Ausführung find ich persönlich sehr vorteilhaft ist aber nicht unbedingt ein Kaufkriterium.
Ausserdem finde ich subjektiv gesehen, das diese Kühl/Gefrierkombination sehr laufruhig ist und meiner Meinung überhaupt nicht störend ist.
Das aufstellen ist gut zu bewältigen (dank der hinteren Rollen),sollte aber genau mit Wasserwaage gemacht werden.Das schliessen der Türelemente wird es Ihnen danken.

Also abschliessend eine absolute Kaufempfehlung von mir und nochmals vielen Dank für die Abwicklung seitens Amazon und der Spedition.

liebe Grüsse und ich hoffe das mein Statement einigen Käufern hilft."
;18;22. Mrz 12;Thomas;;5;Guter Kühlschrank, unkomplizierte Lieferung;"Unser neuer Kühlschrank ist jetzt eine gute Woche in Betrieb und leistet seinen Dienst.
Die Verarbeitung ist gut und macht einen hochwertigen Eindruck.
Die häufig beschriebenen Geräusche des Kühlschrank sind tasächlich vorhanden, allerdings aus unserer Sicht nicht störend (Abgeschlossene Küche). Ist der Kühlschrank längere Zeit geschlossen ist kaum ein Geräusch zu vernehmen. Nach dem Öffnen wird allerdings sofort die Temperatur ausgeglichen und die Kühlung tritt in Kraft (gluckern, prasseln). Aber wie gesagt, es ist nicht besonders laut und kein Grund zum Punktabzug.
Die Lieferung durch die Spedition (Amazon) verlief optimal. Wunschzeitraum Freitag 12-17 Uhr. Um 12.15 Uhr klingelte das Telefon ""In einer Stunde können wir da sein"". Punkt 13.15 Uhr klingelte es an der Tür und zwei Herren schleppten die 87 Kg in die 4. Etage, stellten uns das Paket in die Küche und verabschiedeten sich. Optimal, wie vorhergesagt.
Der Kühlschrank war schnell ausgepackt und angeschlossen. Nach 6 Stunden haben wir ihn dann beladen."
;19;27. Mrz 12;sappeuse;;5;Super Gerät;"Der Wunschtermin wurde eingehalten. Ich wurde nicht ganz 1 Stunde vor der Anlieferung zusätzlich noch einmal vom Fahrer informiert ""Wir sind auf dem Weg"". A+++ lohnt sich auf jeden Fall, da es sich um eine Anschaffung handeln sollte, die man ja einige Jahre hat und wer weiß wo die Strompreisentwicklung noch hingeht.

Zum Gerät:
-Siemens Qualität, erstklassig!!!
-Verarbeitung innen wirklich klasse
-Produkt ist extrem leise,und wirklich geräumig
-einfache und effiziente LED Bedienungsleiste
-gewohnte amazon qualität

Sehr viel Platz, eine kleine Abweichung zur Beschreibung gibt es allerdings. Die Flaschenhalterung ist ein wenig anders als beschrieben.

Die Anti-Finger-Printbeschichtung ist auch zu empfehlen, bisher keinerlei Abdrücke und das obwohl meine Tochter keine Griffe kennt.

Ich bin rundum zufrieden und kann das Modell nur weiterempfehlen!
"
;20;03. Apr 12;homewife;;5;homewife;"Ich bin begeistert von dieser Kühl-Gefrierkombi, super leise und viel Platz für alles was ein 4 Personenhaushalt so braucht, super ist die *crisper-box* für Salat und Obst, es bleibt alles schön frisch und knackig, nur zu empfehlen.
Zudem sieht er super vor meiner farbigen Wand aus, ein echter Hingucker, der auch noch sehr süarsam ist"
;21;12. Apr 12;"havelmike ""mike"" ";;5;Sehr überzeugendes Gerät!;"Wenigsten A++ sollte es sein, ein Mitbewerber war ein entsprechendes Gerät von Samsung. Überzeugt hat neben A+++ und dem geringsten angegebenen Geräuschpegel das angenehmere Äußere, dass nicht im kalten Edelstahllook daherkommt, sondern mit einem leichten Touch ins bräunliche einfach freundlicher wirkt.
Innenaufteilung ist gut, das herunterklappbare Flaschenfach etwas spirlich - funktioniert aber.
Ärgerlich, dass Siemens den eleganten Öffnungsmechanismus von Liebherr und Co nicht kopiert hat - man muss ganz schön ziehen um die dicht schließenden Türen zu öffnen. Die Einstellungen der Temperatur sind easy, dass die tatsächliche Temperatur nicht angezeigt wird, ist nicht wirklich misslich - das Gerät regelt die eingestellte Temperatur sehr genau ein und bei Ausfall meldet es sich.
Der Geräuschpegel ist angenehm, selbst in der Küche selbst stört er nicht - und da bin ich durchaus empfindlich.
Die Oberfläche ist magnetisch, der Fleckenschutz funktioniert erstaunlich gut.
Im Ergebnis uneingeschränkt 5 Sterne.

Nachtrag Januar 2013:
Alles roger. Der Fleckenschutz funktioniert einwandfrei, weder die Geräuschkulisse noch die Funktion hat sich verändert. Die Temperatur hat immer noch Abweichungen von etwa 1-2 °C, die Temperaturzonen sollte man dabei berücksichtigen. Das öfter bemängelte Blubbern ist hörbar, aber eher deshalb, weil das Gerät ansonsten sehr leise ist. Da ist eher störend, dass nach jedem Schließen des Gerätes der interne Lüfter anspringt - und der ist wirklich kaum zu hören. Wir haben die Küchentür eigentlich immer offen und im angrenzenden WZ ist bei ansonsten absoluter Stille nichts zu hören... Hier mag die schon angesprochene Niveauregulierung ihren Sinn haben!"
;22;16. Apr 12;christoph;;5;Gibt nichts zu meckern;"Die Kühl-Gefrierkombi entsprach unseren Vorstellungen, wir haben sie jetzt ca 3 Monate.
Er ist geräumig und kühlt ordentlich, besser als unser alter.
Die Geräusche die er von sich gibt, sind nicht störend und gehen im Altag unter.

Der Versand war spitze, innerhalb von drei Tagen Stand das Gerät (ohne Transportschäden) bei uns.
"
;23;18. Apr 12;Carmen;;4;preis-leistung= super;"unschlagbar preis lieferung - einfach top
einzige punkt - wenn der kompressor angeht ( zur kühlung ) gewisser geräuschpegel
da er bei uns freistehend ist -- hörbar
empfehlung - zwischen einbauschränken zu verbauen"
;24;18. Apr 12;Olli;;4;Kühlgefrierkombi;"Kühlschrank ist wirklich klasse für den Preis.Gibt es nichts dran auszusetzen.
Auch die Terminlieferung hat geklappt.
Nur leider , und deswegen ein Punkt abzug haben sie nicht alle Altgeräte mitgenommen.Wenn ich eine Kühlegefrierkombination kaufe , um sie gegen meine alte Gefrierkombination zu tauschen sollte der Lieferservice auch alles mitnehmen.
Bei mir waren der alte Kühlschrank und der kleine Gefrierwürfel getrennt. Mitgenommen wurde nur der Kühlschrank , der Gefrierwürfel hätte extra gekostet.
Sollte man vieleicht bei der Auftragsbestellung expliziet klarstellen."
;25;18. Apr 12;"technikfreak ""technikfreak""";;5;Top Gerät;"Die Lieferung war problemlos und pünktlich,

Der Kühlschrank selber ist sauber verarbeitet und sieht edel aus. Die Geräuschkulisse ist sehr leise und geht im normalen Alltagsgeräusch unter. Fingerabdrücker sieht man, lassen sich aber mit einem wisch beseitigen. der Innenraum ist geräumig und wird gut gekühlt, meine einstellungen 6°C für Kühlung und -18°C für den Gefrierschrank alles in allem 5Sterne für ein stromsparendes leise Gerät"
;26;19. Apr 12;Eileen;;5;Super Kühlschrank;"Der Kühlschrank wurde wirklich zügig geliefert und die Absprache mit der Spedition hat auch super funktioniert.
Das Gerät ist wirklich toll es passt dort einiges rein, das Licht ist schön hell und die Größe ist optimal.
Ich kann den Siemens-Kühlschrank nur weiterempfehlen. Preis-Leistungs-Verhältnis ist spitze."
;27;22. Apr 12;Kulturgenie;;4;etwas laut - sonst super;"Pünktliche Lieferung zum vereinbarten Termin.

Der Kühlschrank ist einfach zu bedienen und bietet viel Platz. Einziger Nachteil: Während des Kühlvorganges finde ich ihn etwas laut. Ich muss aber dazu sagen, dass ich Ihn frei und offen im Raum stehen habe."
;28;24. Apr 12;Svenja K.;;5;Super;"Montag bestellt und Terminlieferung am Freitag - hat alles perfekt geklappt. Der Kühlschrank ist genau so wie auf den Abbildungen - macht einen hochwertigen Eindruck. Wir mussten die Türen drehen, da wir sie anders herum haben wollten - war auch alles gar kein Problem. Natürlich macht der Kühlschrank Geräusche - aber was anderes hätten wir jetzt auch nicht erwartet...ist schließlich ein Elektrogerät. Er ist definitiv leiser als der Vorgänger und wir empfinden die Geräusche nicht als störend. Haben eine offene Küche zum Wohnzimmer hin! Preis-Leistung top!
"
;29;25. Apr 12;Anja Romanus;;5;Spitzen Gerät mit A+++;"Das Gerät:
erstklassige Gefrierkombi aus dem Hause Siemens mit vielen gut durchdachten Details z.B. in Höhe veränderbare Fächer in der Tür, ausklappbarer Zusatzboden für Getränke, Luftfeuchtigkeitsregler am Gemüsefach .....
Kühl-Geräusche sind vorhanden , aber nicht lässtig
Der Kauf:
bei Amazon einfach und schnell
Die Anlieferung:
über Subunternehmer einfach nur Grauenvoll....
die Herren sehen angeblich schon vom LKW aus, daß der Kühler durch keine Tür passt , weder das Gartentor( über 80cm breit, Eingangstür 75cm breit ). Bei der Besichtigung des Aufstellortes waren Sie ganz überrascht ein Altgerät mitnehmen zu müssen, obwohl ich am Vortag von der Spedition informiert wurde , ich solle das Altgerät abtauen und den Stecker ziehen.Man hat das Gerät dann doch mitgenommen , aber dabei noch schnell mal aufs Lamminat fallen lassen. Fazit: -> absolut unproffesionell <-
Das neue Gerät habe ich dann mit guten Freunden selbst in die Wohnung getragen .
Hinweis:
die Angaben der Tiefe sind ohne Griffe und Abstandshalter , für beides sind jeweils 5cm hinzuzurechnen.
"
;30;29. Apr 12;Dirk Jelinek;;5;Super Kühlschrank! Bin super zufrieden mit dem Kühlschrank;"Ja also der erste Kühlschrank hatte leider einen Transporschaden, dieses wurde dann Amazon gemeldet, ich glaube das war bei Herr Robert Klett dieser Mitarbeiter ist sehr kompetent und nett, hat sofort eine Neulieferung veranlasst und die Abholhung des beschädigten Gerätes veranlast und ohne Mehrkosten! Also voll und ganz zufrieden!
Sowie bei den Speditionsmitarbeiter Hasenkamp!

So nun zum Kühlschrank....
alles super! Wir sind total zufrieden.
Sehr leise (ab und zu leises Strömungsgeräusch der Kühlflüssigkeit aber dieses ist nicht störend) Den Innenraumventilator hört man so gut wie gar nicht man muß schon genau und direkt vor dem Kühlschrank stehen und alles muß ganz leise sein, viel Platz im Kühlraum sowie die einstellmöglichkeiten des Getränkefachs, gute Kühlleistung, eine super Sache sind auch die Kühlboxen für Fleisch etc. und die Kühlbox für Obst und Gemüse! Sowie die Powertaste fürs Kühlen oder Gefrieren wenn man eine große Menge Getränke :-) in den Kühlschrank legt!
Auch die Verarbeitung läßt keinen Grund einer Beanstandung zu, Top verarbeitet, super Optik und dank Anti Fingerprint keine Fingerabdrücke!
Das einzigste was ist die Seitenwände sind nicht aus Edelstahl also wenn der Kühlschrank frei steht sollte man dieses Bedenken! Bei uns steht er über Eck!
Ich war am Überlegen den kleinen Bruder zu nehmen aber bereue es nicht den Großen genommen zu haben auch wegen der Ausstattung des Kühlraums, Sicherheitsglas mit Edelstahlkantenschutz, LED Innenraumbeleuchtung, verstellbares Ablegefach um mehr Platz zu machen für das Flaschenfach, sowie die ausklappbare Getränkeablage!

Ja und das Gefrierfach hmm ist halt ein Gefrierfach viel Platz! Ach ja eine getrennte Temperaturregelung ist vorhanden!

Also ich kann ihn nur empfehlen und wir sind total zufrieden!"
;31;03. Mai 12;"Irmer ""Jogibear74""";;5;einfach Klasse;"Ich gebe selten Rezensionen ab aber in diesem Fall...
Der Kühlschrank ist einfach der Wahnsinn! Für das Geld einen so hochwertigen, luxuriösen und schönen
Kühlschrank zu bekommen ist einfach toll! Er ist nicht mit den günstigen Kühlschränken zu vergleichen,
Verarbeitung ist perfekt, kühlt super schnell und ist pflegeleicht...
kleiner Wehrmutstropfen: man hört ihn manchmal.. wenn die Lüftung anspringt dann surrt der Motor, da er
ja sonst mucksmäuschenstill ist bemerkt man das dann natürlich, kein Dauergeräusch.
Ach ja, die Griffe sind natürlich nicht Anti-Finger-Print beschichtet, warum weiss ich auch nicht..."
;32;07. Mai;landkind;;5;sehr zufrieden mit meiner kaufentscheidung;großer geräumiger kühlschrank mit wenig energieverbrauch. trotz des gewichts ist der kühlschrank ausgepackt einfach zu bewegen (räder auf der hinterseite!). bietet alles was man sich erwartet. auch der wechsel des türanschlags war recht einfach und unkompliziert. der geräuschpegel ist nicht so laut wie befürchtet - etwas surren und blubbern, absolut nicht aufregend.
;33;08. Mai 12;Bilok;;5;Kühlschrank und Service Perfekt;"Der Kühlschrank ist sehr schnell geliefert worden, auch das Transport in die Küche und aufstellen ist im Preis erhalten. Paar Stunden stehen lassen und dann wurde der Kühlschrank in Betrieb genommen.
Leider am Nächsten Tag habe ich bemerkt dass der Kühlschrank immer genau nach eine Minute einem Komischen Geräusch machte. Ein Anruf bei Siemens Service und ein Techniker war zwei Tage später bei mir zu Hause.
Es war nicht wildes, einfach bei Transport wurde ein Teil leicht verbogen genau dort wo der Magnet Ventil ist. Bis jetzt Funktioniert der Kühlschrank hervorragend, Super Leise, Optik 1 A , und das wichtigste Kühlt sehr Gut.
Was für mich bei diesem Kauf war, ist der Service, Kostenlose Telefonnummer 0800 und ein Techniker kommt sofort."
;34;13. Mai 12;kleinstweich;;2;Zu laut;Ein schönes Gerät, keine Frage. Aber die unregelmäßigen, knarzenden und lauten Geräusche des Gerätes sind indiskutabel. Der Siemens-Kundendienst war da, meinte das ist aufgrund A+++ baubedingt. Dann lieber A+ und das Gerät nervt nicht. Ist mir rätselhaft, wie man dieses Gerät so gut bewerten kann.
;35;01. Jun 12;Petra Schulz;;5;Kühlgefrierkombination Siemens KG39EAI40;Sind sehr zufrieden. Würden ihn jederzeit wieder kaufen. Sehr schöner Kühlraum, auch schön groß. Vor allem ist die Front mit antiFingerprint ausgestattet, welches die Reinigung sehr erleichtert. In der coolBox hält sich Salat und anderes Gemüse viel länger frisch, als in herkömmliche Fächer.
;36;07. Jun 12;Thomas Gramsch;;5;Und er ist doch laut !;"Als erstes muss ich den anderen Rezensionen widersprechen, dieser Kühlschrank ist nicht leise !!
Der Kühlschrank macht eigentlich ständig immer irgendwelche Geräusche und ist stets wahrnehmbar, aber nicht störend ! Unsere alten Kühlschränke sind wesentlich leiser !

Trotzdem vergebe ich 5 Sterne weil uns dies nicht stört weil uns andere Faktoren wichtiger waren wie zum Beispiel der niedrige Stromverbrauch ( nachgemessen ), die gute Verarbeitung, die Größe.

De Kühlschrank kommt übrigens aus der Türkei ( SIEMENS ?!? ) , was aber nicht negativ behaftet ist denn er ist super verarbeitet. Mit Verpackung wiegt das Gerät 94 Kilogramm und ist 2,20 m hoch (mit Verpackung wohlgemerkt ). Also bitte bedenken wenn der Eingang und der Flur eng ist so wie bei uns ( Fachwerkhaus )

Die Lieferung hat wie immer perfekt geklappt ( nochmals Dank an die beiden türkischen Mitarbeiter der Spedition, super Arbeit ! )

Fazit:
Für dieses Geld ( 689 Euro inklusive Lieferung !! ) bekommt man einen super verarbeiteten Kühlschrank, der sehr wenig Strom verbraucht und sehr viel Platz bietet.
Wer allerdings einen wirklich leisen Kühlschrank sucht der soll nicht zugreifen denn dies ist er nicht."
;37;09. Jun 12;Thomas Klages;;4;Tolles Gerät, aber…;"Kurz vorab: Die Wunschterminlieferung hat perfekt funktioniert.
Nun zum Gerät. Das Teil sieht wirklich Edel aus und ist insgesamt sehr gut verarbeitet. Zwei Dinge finde ich aber Verbesserungswürdig: 1. Das Teil ist nicht wirklich leise. Es gluckert und zischt wesentlich lauter, als dies meine alte Privileg Kühl-/Gefrierkombi getan hat. 2. Sind die Ablagen an der Tür für z.B. große 1,5l Flaschen sehr knapp bemessen. Man bekommt sie gerade so rein, beim rausnehmen hakts schonmal. Damit man beim Herausnehmen der Flasche nicht an die darüber liegende Ablage stößt, muss man diese schon in die höchste Position bringen. Diese verstellbare Ablage wiederum hat ein sehr niedrige Kante, sodass ich keine hohen Gegenstände wie Tetrapack, Ketchupfl. etc. darin unterbringen würde. Beim zu kräftigen Öffnen der Tür, fällt dann schonmal was raus....
Ansonsten bin ich mit dem Gerät zufrieden. Die Temperaturen für Kühlen und Gefrieren lassen sich separat regeln. Das konnte mein Alter leider nicht..."
